,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,rs,played,cameras,notifications,nice,far,body,ke,cancel,s9
1,offer,games,depth,app,xilent,think,case,hai,deliver,obviously
2,discount,graphics,images,exit,osm,comparison,thin,liye,delivered,terms
3,discounts,runs,portrait,messages,vry,really,design,bhi,order,absolutely
4,price,almost,capture,operations,nyc,aspects,fits,h,informed,s8
5,deal,90,captures,apps,sm,actually,grip,hota,address,beast
6,discounted,heavy,daylight,application,lovly,trust,slippery,acha,promised,flagships
7,12000,playing,lens,restart,good,one,feels,ki,assured,flagship
8,999,gaming,rear,applications,nais,better,silicon,nhi,asked,barring
9,13000,pubg,wide,whatsapp,super,believe,looks,accha,customer,amazing
10,7000,handles,camera,able,swm,compared,handy,jyada,delivery,iphones
11,19000,extreme,front,browsing,gjb,still,slim,ye,cancelled,s10
12,billion,medium,pictures,music,profomance,compare,plastic,kam,executives,shifted
13,8100,50,shots,function,osom,definitely,cover,bahut,said,loving
14,5500,100,aperture,icon,awesome,terms,glass,nahi,bangalore,absolute
15,diwali,lasts,angle,menu,also,plus,curved,ka,ekart,great
16,offers,combat,captured,sometimes,bt,phones,hands,jada,date,aspects
17,18999,lag,selfie,browser,betray,awesome,thick,lekin,seller,way
18,rupees,usage,produces,wifi,love,comparing,bigger,mai,sent,top
19,competitive,smooth,saturated,disable,nd,great,beautiful,ko,courier,oneplus
